image_dir,description,text
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_001\panel_1.jpg,Escoria defends herself with a sword from a bunch of harpys attack. Harpys furiously attack with their claws. Edrei with angry expression cast a magic spell with his wand,
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_002\panel_1.jpg,A black magic lightning shocks an harpy. The harpy falls from flying. A harpy attacks Edrei with its claw. Edrei defends himself, RAAWRRR
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_002\panel_2.jpg,Escoria holds a harpys claw with her left arm. Escoria holds a sword with her right hand. Escoria has an angry battle expression,
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_003\panel_1.jpg,Escoria grips a harpy by its claw and swings a sword. Escoria looks at her right with a serious expression,
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_003\panel_2.jpg,Escoria throws an harpy by brute force. Two harpys look at each other surprised. Two harpys scream. Edrei holds a magic wand with a shocked face, ¡TUYA. CANIJO! AAAARGH!!! GNEK?! ¿¿¡CÓMO QUE MÍA??!
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_003\panel_4.jpg,Two harpys crashed between them violently, CRACK
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_003\panel_5.jpg,Escoria is turned back. Escoria fights an harpy with a sword. An harpy fights and ups its claws. A harpy moves its wings fast,
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_003\panel_6.jpg,A harpy kneels on the floor and has a tired expression. Edrei looks surprised, ¡OH!
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_003\panel_7.jpg,Edrei ups his hand and holds a magic wand. A light of flame appears on the hand. Fire around Edrei,
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_004\panel_1.jpg,A harpy burns in fire and screams. Escoria is hurt by an harpys claw. Escoria has a pain and angry face,¡¡AAARGH!!
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_004\panel_2.jpg,Escoria looks behind her with a furious look. A pair of firmly hands hold a sword. Escoria pierces a harpy with a sword,
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_004\panel_3.jpg,Edrei shivers and smiles nervously. Edrei holds is wand with his left arm. Edrei is crying, ...EDREI. ¿ESTÁS BIÉN? SI
..\train\data\output\divide_images_train\Capitulo 2\Comic2-color-fix_004\panel_4.jpg,Escoria is turned away. Escoria has a wound on his back. A man lies among the rocks, PUES LLEGAMOS TARDE. VOLVAMOS AL PUEBLO.
..\train\data\output\divide_images_train\Capitulo 4\Comic4_001\panel_1.jpg,Escoria and Edrei are turned back. A man sitted on a wagon smiles with humble, VARIOS DÍAS DESPUÉS ¡ADIÓS DON MANUEL!
..\train\data\output\divide_images_train\Capitulo 4\Comic4_001\panel_2.jpg,Escoria and Edrei walks near a large house on a busy street of the port. A man carries a box along the docks. A man is sitting at the end of the pier looking at the sea. Two women are talking near a house wall, PUERTO BLANCO
..\train\data\output\divide_images_train\Capitulo 4\Comic4_001\panel_3.jpg,Escoria is looking ahead with a calm expression. Edrei looks back to a beautiful woman with a charming face,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_001\panel_4.jpg,A hand is near a sack. A man holds a book,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_001\panel_5.jpg,Edrei looks back himself with a surprised expression. A man runs with a sack in his hand, ¡ALTO LADRÓN!
..\train\data\output\divide_images_train\Capitulo 4\Comic4_001\panel_6.jpg,Escoria has an exasperated expression covering part of her face with her hand. Edrei runs with urgency, MENUDO IDIOTA...
..\train\data\output\divide_images_train\Capitulo 4\Comic4_001\panel_7.jpg,Escoria looks forward with an axhausted face, NO SOY LA NIÑERA DE NADIE
..\train\data\output\divide_images_train\Capitulo 4\Comic4_002\panel_1.jpg,Escoria is talking with a man, ¿ENTONCES EL BARCO SALE EN QUINCE MINUTOS?
..\train\data\output\divide_images_train\Capitulo 4\Comic4_002\panel_2.jpg,Edrei is running with an angry face near a hooded man. A man with a hood and a cloack smiles,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_002\panel_3.jpg,Edrei is turning back watching a man running throw a dark street, TE TENGO
..\train\data\output\divide_images_train\Capitulo 4\Comic4_002\panel_4.jpg,There are four people. Edrei is turned back looking at three men. A bald and half nacked man with a beard holds a knife. A cloacked bearded man holds a little sack in his hand. A big man with short pants holds a stick in his hands, VAYA. VAYA ¿QUÉ TENEMOS AQUÍ? UN NIÑO RICO ESTÚPIDO. ERA UNA PREGUNTA RETÓRICA
..\train\data\output\divide_images_train\Capitulo 4\Comic4_003\panel_1.jpg,Edrei looks angry and takes his wand down his right arm. A blonde man standing smiles with an scary face,
..\train\data\output\divide_images_train\Capitulo 4\Comic4_003\panel_2.jpg,A hand holds a magic wand, ¡ES UN MAGO!
..\train\data\output\divide_images_train\Capitulo 4\Comic4_003\panel_3.jpg,A hand lifts a magic wand. The wand shines with a glow of magic,
