;Texto_tweet;valoracion_corpus;valoracion_calculada;Palabras_encontradas
0;Amo a Arya Stark por encima de todas las cosas gameofthrones;1.0;0.0;
1;Una vez más uno de los mejores jugadores de la historia Leo Messi al 75  y al 82  en Se acabó la serie ;1.0;0.0; mejor(1.0) seri(-1.0)
2;La catedral estuvo a media hora de venirse abajo completamente  El daño en Notre Dame es irreparable  Nos adentramos en el templo tras el incendio  en;-1.0;0.0; complet(1.0) incendi(-1.0)
3;ESTOY LLORANDO  QUE MARAVILLA  OBRA DE ARTE  ESPECTACULAR  ALUCINANTE  INCREIBLE  MAJESTUOSO CAPÍTULO DE JUEGO DE TRONOS ME CAGO EN MIS MUERTOS  NO DOY CRÉDITO A LO QUE ACABO DE VER;1.0;-1.0; llor(-1.0) maravill(1.0) alucin(1.0) tron(-1.0) muert(-1.0) no(0.0)
4;Hay que agradecer en esta noche a  Gracias de verdad por conseguir movilizar a la izquierda ;1.0;0.0;
5;se ha convertido en un icono del activismo ecológico a nivel planetario  Da esperanza ver a jóvenes peleando de esta manera;1.0;0.0; activ(1.0) pel(-1.0)
6;Que la luz ilumine a toda que la paz inunde los corazones y Dios de esperanza a su pueblo ;1.0;-1.0; inund(-1.0)
7;Lista para el capítulo de hoy;1.0;0.0;
8;los Bomberos de París premian a José Manuel Soto por los buenísimos consejos que les ha dado desde ayer;1.0;0.0;
9;No le deis más vueltas  La sorpresa es que no ha habido sorpresas;1.0;0.0; no(0.0) no(0.0)
10;Quién se lleva los reflectores  A quién le damos la primera plana  A por sus 600 goles en clubes  O a por su 4to título de en 5 años  Estos dos se necesitan uno a otro  no podemos hablar de solo uno  porque el otro sale a levantar la mano Par de cracks;1.0;-1.0; necesit(-1.0) no(0.0)
11;Después de todas las emociones por las que he pasado con este capítulo de doy gracias de no tener que trabajar hoy para echarme la siesta porque estoy agotada;1.0;-1.0; no(0.0) agot(-1.0)
12;Ustedes de verdad están contentos con que Arya matara al rey de la noche cargándose así 7 temporadas donde nos han venido desarrollando toda una historia sobre el príncipe princesa que fue prometido a ;-1.0;1.0; content(1.0) mat(-1.0) desarroll(1.0)
13;mi ciudad favorita del mundo  conozco la belleza gracias a ti;1.0;0.0;
14;Buenos días  Camino del trabajo me pregunto si alguien sabe donde están escondidos los que se reían de los datos del ;-1.0;1.0; buen(1.0)
15;FELIZ  Gracias España Los españoles hemos demostrado que somos mejores que nuestros políticos  No queremos odio  enfrentamiento ni ir hacía atrás  Lo que queremos es igualdad  avanzar y diálogo ;1.0;0.0; feliz(1.0) mejor(1.0) no(0.0) odi(-1.0) enfrent(-1.0) atras(-1.0) avanz(1.0)
16; la  estructura  del monumento pudo ser salvada  en su totalidad   según los bomberos franceses  Los trabajos para apagar las llamas por completo continúan   ct;1.0;0.0; apag(-1.0) complet(1.0)
17;Y llegó el 600 te amo;1.0;0.0;
18;Está claro que sin Messi no hubiera sido lo mismo pero aun así 8 de 11 es impresionante  Enhorabuena a todos los culés Campions;1.0;-1.0; no(0.0) impresion(-1.0)
19;Puta locura de capitulo  Lo mejor que he visto pero con diferencia;1.0;0.0; locur(-1.0) mejor(1.0)
20;Una auténtica desgracia Ojalá todos y todas podamos volver a verla en todo su esplendor  aunque ya nunca será lo mismo;-1.0;0.0; desgraci(-1.0) esplendor(1.0)
21;A propósito del  La de la Sorbona  la Pública de NY y otras bibliotecas  las más bonitas del mundo;1.0;0.0;
22;Una disculpa mis estimados hermanos de  La ignorancia de algunos Mexicanos es grande Quiero a Venezuela libre;1.0;0.0; ignor(-1.0) grand(1.0)
23;Acabo de ver el gol de Messi  TREMENDO;1.0;-1.0; tremend(-1.0)
24;Independientemente al carácter religioso de hoy se ha dañado una de las creaciones humanas más grandes en la arquitectura y en tiempos en los que el hombre solo destruye eso si representa una pérdida notable ;-1.0;0.0; grand(1.0) destru(-1.0) perd(-1.0) notabl(1.0)
25;Jaén sin escaños de VOX y qué bien;1.0;0.0;
26;Impresionante Brutal Y   simplemente Que tensión continúa;1.0;-1.0; impresion(-1.0) brutal(-1.0)
27;Las penas del fútbol se pasan con fútbol  Messi un crack;1.0;-1.0; pen(-1.0)
28;Campeooooones campeooooones olé olé olé;1.0;0.0;
29;Y para terminar el no puedo dejarme uno que para mí supuso un antes y un después en mi vida  Alguien me abrió los ojos de una manera bestial y siempre estaré eternamente agradecida   Educación  hándicap e inclusión  de Nacho Calderón;1.0;0.0; no(0.0)
30;Me gusta leer  tengo muchos libros nuevos  incluso sellados  pero no me da la cabeza para concentrarme y poder avanzar;-1.0;1.0; gust(1.0) no(0.0) avanz(1.0)
31;Que Suarez es lento  brusco  tosco y hasta bruto dicen  Pero dale una  una nada mas Ahí estaaaa;1.0;-1.0; brusc(-1.0) tosc(-1.0) brut(-1.0)
32;Repudiamos los intentos de golpe de estado a  a y los cubanos también apoyamos la  no está sola  y triunfarán  pese a los intentos de a q estamos sometidos  y  Venceremos;1.0;-1.0; repudi(-1.0) golp(-1.0) no(0.0) triunf(1.0) pes(-1.0) venc(1.0)
33;Ministerio del interior francés  dice que  los bomberos no podrán salvar a Notre Dame ;-1.0;0.0; no(0.0)
34;Es genial la gente aprovechando el incendio de para postear fotos diciendo yo estuve ahí ;-1.0;0.0; aprovech(1.0) incendi(-1.0)
35;Bella Nuestra Señora De París;1.0;0.0;
36;ARYA ERES LA PUTA AMA;1.0;0.0;
37;GRACIAS por unir a mi país contra el fascismo  GRACIAS DE CORAZÓN ;1.0;0.0;
38;Sin duda este es el mejor momento del tercer capítulo de juego de tronos ;1.0;0.0; mejor(1.0) tron(-1.0)
39;Me acuerdo también de la memoria histórica  De todos esos familiares que solo quieren saber en dónde estan sus seres queridos ;-1.0;0.0;
40;Hoy si que si ORGULLOSA DE ESPAÑA;1.0;0.0;
41;TERMINA EL PARTIDO BARCELONA es CAMPEÓN de para segundo año consecutivo  Derrota por la mínima al Levante y festeja un título más  Messi ;1.0;0.0; derrot(-1.0) festej(1.0)
