image_dir,description,text
data\output\divide_images_train\Capitulo 7\Comic7_001\panel_1.jpg,Escoria stands and walks with flames around her,
data\output\divide_images_train\Capitulo 7\Comic7_001\panel_2.jpg,A chimera groans and shows its teeth. A beast claw is attacking,GRRRRRR...
data\output\divide_images_train\Capitulo 7\Comic7_001\panel_2.jpg,Escoria looks intimidating to the front and has fire around her,
data\output\divide_images_train\Capitulo 7\Comic7_001\panel_4.jpg,A chimera claw is touching a shoulder. The shoulder is burning and despites hot flames,
data\output\divide_images_train\Capitulo 7\Comic7_002\panel_1.jpg,A scared chimera withdraws its paw. The paw is smoking and has been burned by the heat,
data\output\divide_images_train\Capitulo 7\Comic7_002\panel_2.jpg,Escoria stands in a powerful pose and looks serious to the front. The are flames around Escoria,MIENTRAS TANTO
data\output\divide_images_train\Capitulo 7\Comic7_002\panel_3.jpg,Edrei is casting a spell. Edrei's pendant shines with magic. Edrei holds a wand with his hand,
data\output\divide_images_train\Capitulo 7\Comic7_003\panel_1.jpg,A elf holds a wand and cast a magic spell around a lot of people. The magic wand brights green,
data\output\divide_images_train\Capitulo 7\Comic7_003\panel_2.jpg,Escoria runs holding her sword surrounded by flames,
data\output\divide_images_train\Capitulo 7\Comic7_003\panel_3.jpg,A chimera is runing in fear. A fire blight shows in it's body,
data\output\divide_images_train\Capitulo 7\Comic7_003\panel_4.jpg,Escoria attacks with a fire sword. The sword has flames in the edge. There are flames around the scene,
data\output\divide_images_train\Capitulo 7\Comic7_004\panel_1.jpg,A chimera looks scared at the fire,
data\output\divide_images_train\Capitulo 7\Comic7_004\panel_2.jpg,Escoria jumps into the fire holding a sword. Escoria attacks a chimera woth a fire sword. The sword has flames on its edge. A chimera is wounded by a sword,
data\output\divide_images_train\Capitulo 7\Comic7_004\panel_3.jpg,A chimera screams into a bunch of flames. Fire is around and burns a chimera,
data\output\divide_images_train\Capitulo 7\Comic7_005\panel_1.jpg,A beast is lied on the floor and flames are burning it,
data\output\divide_images_train\Capitulo 7\Comic7_005\panel_2.jpg,Escoria holds a sword. The sword has flames on its edge. A beast is burning on the floor,
data\output\divide_images_train\Capitulo 7\Comic7_005\panel_3.jpg,Edrei looks worried at his side,¿ESCORIA?
data\output\divide_images_train\Capitulo 7\Comic7_005\panel_4.jpg,Edrei is running in a arena with his hands lifted,
data\output\divide_images_train\Capitulo 7\Comic7_006\panel_1.jpg,Edrei and Escoria are crossing a iron gate. Edrei and Escoria are speaking,"VI A QUIÉN CONJURABA A LA MANTÍCORA, ERA UN ELFO"
data\output\divide_images_train\Capitulo 7\Comic7_006\panel_2.jpg,Escoria stands with an angry face,"BUSQUÉMOSLE, NOS DEBE UN PAR DE RESPUESTAS"
data\output\divide_images_train\Capitulo 7\Comic7_006\panel_3.jpg,Escoria and Edrei are hidden near the bottom of a staircase,
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_1.jpg,An elf walks down a staircase with a concerned face,ES ESE
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_2.jpg,Escoria stands behind a man with a long black hair,
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_3.jpg,Escoria puts her hand in a elf's face to shout him. Escoria looks angry and decided. The elf looks surprised,HMM!!
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_4.jpg,A hand takes a stick from a belt,
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_5.jpg,Edrei smiles and holds a wand,¿NO TE DIJERON EN LA ESCUELA DE MAGIA QUE TENÍAS QUE CUIDAR DE TU VARITA?
data\output\divide_images_train\Capitulo 7\Comic7_007\panel_6.jpg,Escoria has her hand on a man's mouth. Escoria has an angry and intimidating face. A elf looks scared,"TÚ Y YO VAMOS A TENER UNA CHARLA PRIVADA ¿TE PARECE?"
