;ID;texto_tweet_original;valoracion_corpus;Texto_tweet;valoracion_calculada
0;1;El Atlético resignado a perder HASHTAG 😔  https://t.co/AiaaGdxmQO;-1.0;El Atlético resignado a perder;-1.0
1;2;Leer proporciona una mejor visión del mundo 🤓  ¡Feliz HASHTAG y HASHTAG! 📖 https://t.co/LRUdAIRTbN;1.0;Leer proporciona una mejor visión del mundo Feliz y;1.0
2;3;Amo a Arya Stark por encima de todas las cosas 😍😍😍#gameofthrones HASHTAG;1.0;Amo a Arya Stark por encima de todas las cosas gameofthrones;0.0
3;5;Solo siento que hayamos perdido 24 escaños de cordura HASHTAG;-1.0;Solo siento que hayamos perdido 24 escaños de cordura;-1.0
4;6;Solo con ver con la intensidad que agitan las banderas se ve que no han quedado satisfechos los de USER Sinceramente me alegro muchísimo. HASHTAG HASHTAG https://t.co/Au7zuC1KWp;1.0;Solo con ver con la intensidad que agitan las banderas se ve que no han quedado satisfechos los de Sinceramente me alegro muchísimo ;1.0
5;7;¡Una vez más uno de los mejores jugadores de la historia! 🇦🇷 Leo Messi al 75' y al 82' en HASHTAG 🔵🔴 ¿Se acabó la serie? 🏆 https://t.co/xivFajGEvz;1.0;Una vez más uno de los mejores jugadores de la historia Leo Messi al 75  y al 82  en Se acabó la serie ;0.0
6;9;Hoy tarde de oraciones. Pido por todos mis amigos venezolanos que hoy sufren la opresión a fin de que llegue pronto una HASHTAG sin violencia. https://t.co/C3GAUJ7U3a;-1.0;Hoy tarde de oraciones  Pido por todos mis amigos venezolanos que hoy sufren la opresión a fin de que llegue pronto una sin violencia ;-1.0
7;13;Una lástima lo de HASHTAG, una perdida incalculable. Eso si, más lastima es cuando desaparece la humanidad y no un patrimonio suyo. Eso pasa todo los dias, no abre noticiarios y los dirigentes mundiales no muestran su pena. Posiblemente porque ellos son los culpables.;-1.0;Una lástima lo de  una perdida incalculable  Eso si  más lastima es cuando desaparece la humanidad y no un patrimonio suyo  Eso pasa todo los dias  no abre noticiarios y los dirigentes mundiales no muestran su pena  Posiblemente porque ellos son los culpables ;-1.0
8;15;Nuestra Secretaria General USER felicita a todos los lectores destacados de HASHTAG, que en el HASHTAG fueron premiados por su amor por los libros e incansable ganas de viajar, soñar y aprender mediante las palabras https://t.co/7PdxWpA95X;1.0;Nuestra Secretaria General felicita a todos los lectores destacados de  que en el fueron premiados por su amor por los libros e incansable ganas de viajar  soñar y aprender mediante las palabras;1.0
9;16;⛪ La catedral estuvo a media hora de venirse abajo completamente. El daño en Notre Dame es irreparable. Nos adentramos en el templo tras el incendio, en HASHTAG HASHTAG https://t.co/VXUwkzGTdc https://t.co/SUxiHfvfyT;-1.0;La catedral estuvo a media hora de venirse abajo completamente  El daño en Notre Dame es irreparable  Nos adentramos en el templo tras el incendio  en;0.0
10;22;ESTOY LLORANDO. QUE MARAVILLA, OBRA DE ARTE, ESPECTACULAR, ALUCINANTE, INCREIBLE, MAJESTUOSO CAPÍTULO DE JUEGO DE TRONOS ME CAGO EN MIS MUERTOS. NO DOY CRÉDITO A LO QUE ACABO DE VER HASHTAG HASHTAG HASHTAG;1.0;ESTOY LLORANDO  QUE MARAVILLA  OBRA DE ARTE  ESPECTACULAR  ALUCINANTE  INCREIBLE  MAJESTUOSO CAPÍTULO DE JUEGO DE TRONOS ME CAGO EN MIS MUERTOS  NO DOY CRÉDITO A LO QUE ACABO DE VER;-1.0
11;25;🇫🇷 Una verdadera pena :( 🇫🇷  https://t.co/vPtqJ153Vb  Hace pocos meses pude ver con mis propios ojos HASHTAG de París, una verdadera pena lo que sucedió el día de hoy!  HASHTAG HASHTAG;-1.0;Una verdadera pena   Hace pocos meses pude ver con mis propios ojos de París  una verdadera pena lo que sucedió el día de hoy;-1.0
12;27;Hay que agradecer en esta noche a  USER. Gracias de verdad por conseguir movilizar a la izquierda. HASHTAG;1.0;Hay que agradecer en esta noche a  Gracias de verdad por conseguir movilizar a la izquierda ;0.0
13;31;USER se ha convertido en un icono del activismo ecológico a nivel planetario. Da esperanza ver a jóvenes peleando de esta manera HASHTAG https://t.co/QxHWFgmYkQ;1.0;se ha convertido en un icono del activismo ecológico a nivel planetario  Da esperanza ver a jóvenes peleando de esta manera;0.0
14;33;Me encantan estos HASHTAG con HASHTAG incluida  Semifinal Ida Barcelona 🆚 Liverpool https://t.co/mH9jRMWyKg;1.0;Me encantan estos con incluida Semifinal Ida Barcelona Liverpool;1.0
15;41;Que la luz ilumine a toda HASHTAG que la paz inunde los corazones y Dios de esperanza a su pueblo. HASHTAG 🙏🏼;1.0;Que la luz ilumine a toda que la paz inunde los corazones y Dios de esperanza a su pueblo ;-1.0
16;43;Muchas veces una pequeña HASHTAG puede producir un gran HASHTAG... Y una idea, un gran cambio. Gracias HASHTAG por iniciarlo. HASHTAG HASHTAG HASHTAG HASHTAG USER USER https://t.co/FrHQPZloo6;1.0;Muchas veces una pequeña puede producir un gran  Y una idea  un gran cambio  Gracias por iniciarlo ;1.0
17;45;Lista para el capítulo de hoy! HASHTAG HASHTAG  HASHTAG https://t.co/uKiuFNMrTr;1.0;Lista para el capítulo de hoy;0.0
18;47;🏆 HASHTAG número 2⃣6⃣.  8⃣ títulos de liga de los últimos 11 torneos locales.  ¡Simplemente los mejores de 🇪🇸! Felicidades USER https://t.co/hdUAIpYXzC;1.0;número 2 6  8 títulos de liga de los últimos 11 torneos locales  Simplemente los mejores de Felicidades;1.0
19;51;HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  La Liga es nuestraaaaaaaaaaaa. Felicidades a todos los culés. Un abrazo campeón para todos.;1.0;La Liga es nuestraaaaaaaaaaaa  Felicidades a todos los culés  Un abrazo campeón para todos ;1.0
20;56;HASHTAG los Bomberos de París premian a José Manuel Soto por los buenísimos consejos que les ha dado desde ayer https://t.co/XVUIV8gX0b;1.0;los Bomberos de París premian a José Manuel Soto por los buenísimos consejos que les ha dado desde ayer;0.0
21;57;No le deis más vueltas. La sorpresa es que no ha habido sorpresas HASHTAG;1.0;No le deis más vueltas  La sorpresa es que no ha habido sorpresas;0.0
22;58;Por si no tuvimos suficientes emociones con HASHTAG, llegó HASHTAG HASHTAG y nos ofreció otro episodio bestial!!! Que buen final de puente estamos disfrutando!!;1.0;Por si no tuvimos suficientes emociones con  llegó y nos ofreció otro episodio bestial Que buen final de puente estamos disfrutando;1.0
23;59;Campeones, campeones oeoeoe 🎶 El Barcelona campeón de HASHTAG 18-19. Que rico es ganar!!! https://t.co/VSPeWErY2M;1.0;Campeones  campeones oeoeoe El Barcelona campeón de 1819  Que rico es ganar;1.0
24;61;Dijo alguna vez el escritor Ray Bradbury: “Usted no tiene que quemar libros para destruir una cultura. Sólo tiene que hacer que la gente deje de leerlos”. 👏👏👏  HASHTAG… https://t.co/aG9K5IlbhK;-1.0;Dijo alguna vez el escritor Ray Bradbury  Usted no tiene que quemar libros para destruir una cultura  Sólo tiene que hacer que la gente deje de leerlos ;-1.0
25;63;Cuánto duele verlo... los rosetones de HASHTAG sufren daños catastróficos... 😔 https://t.co/DhpU1kjuIt;-1.0;Cuánto duele verlo  los rosetones de sufren daños catastróficos ;-1.0
26;64;Que mal lo estoy pasando  HASHTAG;-1.0;Que mal lo estoy pasando;-1.0
27;67;Estoy destrozada por el devastador incendio en la Catedral de Notre Dame, estaba planeado ir dentro de 4 o 5 décadas para conocerla, Dios la tenga en su Santa gloria. 😔 HASHTAG HASHTAG  HASHTAG HASHTAG;-1.0;Estoy destrozada por el devastador incendio en la Catedral de Notre Dame  estaba planeado ir dentro de 4 o 5 décadas para conocerla  Dios la tenga en su Santa gloria ;-1.0
28;68;Desgarradoras estás imágenes que nos llegan desde Francia. Nuestro pesar por el incendio que arrasa HASHTAG. https://t.co/Rngq4vLUKO;-1.0;Desgarradoras estás imágenes que nos llegan desde Francia  Nuestro pesar por el incendio que arrasa ;-1.0
29;74;Quién se lleva los reflectores? A quién le damos la primera plana? A HASHTAG por sus 600 goles en clubes? O a HASHTAG por su 4to título de HASHTAG en 5 años? Estos dos se necesitan uno a otro, no podemos hablar de solo uno, porque el otro sale a levantar la mano! Par de cracks!;1.0;Quién se lleva los reflectores  A quién le damos la primera plana  A por sus 600 goles en clubes  O a por su 4to título de en 5 años  Estos dos se necesitan uno a otro  no podemos hablar de solo uno  porque el otro sale a levantar la mano Par de cracks;-1.0
30;78;"Alguien quiere contar que libro está leyendo hoy? HASHTAG Yo hoy leo ""La simetría de los deseos"" de Eshkol Nevo en español, regalo de una gran amiga que no vive en este barrio.";1.0;Alguien quiere contar que libro está leyendo hoy  Yo hoy leo  La simetría de los deseos  de Eshkol Nevo en español  regalo de una gran amiga que no vive en este barrio ;1.0
31;84;Una pena el devastador incendio en la Catedral de HASHTAG. Una pérdida irreparable del patrimonio cultural de nuestro planeta. https://t.co/Sfv3SFefk8;-1.0;Una pena el devastador incendio en la Catedral de  Una pérdida irreparable del patrimonio cultural de nuestro planeta ;-1.0
32;85;Después de todas las emociones por las que he pasado con este capítulo de HASHTAG doy gracias de no tener que trabajar hoy para echarme la siesta porque estoy agotada HASHTAG;1.0;Después de todas las emociones por las que he pasado con este capítulo de doy gracias de no tener que trabajar hoy para echarme la siesta porque estoy agotada;-1.0
33;91;Ustedes de verdad están contentos con que Arya matara al rey de la noche cargándose así 7 temporadas donde nos han venido desarrollando toda una historia sobre el príncipe/princesa que fue prometido/a? HASHTAG;-1.0;Ustedes de verdad están contentos con que Arya matara al rey de la noche cargándose así 7 temporadas donde nos han venido desarrollando toda una historia sobre el príncipe princesa que fue prometido a ;1.0
34;96;"Comentario entretiempo entre el USER y el USER: El gol fue un ""accidente"" al trámite general del juego. Mal la lesión de Keita. HASHTAG";-1.0;Comentario entretiempo entre el y el  El gol fue un  accidente  al trámite general del juego  Mal la lesión de Keita ;-1.0
35;97;Veo mucha gente triste por el incendio en HASHTAG. Te cuento que la semana pasada un hombre le prendió fuego la casilla a su ex mujer, perdió lo poco que tenía, no se digo, quizás también se te da por poner una foto de ella y darle una mano no?;-1.0;Veo mucha gente triste por el incendio en  Te cuento que la semana pasada un hombre le prendió fuego la casilla a su ex mujer  perdió lo poco que tenía  no se digo  quizás también se te da por poner una foto de ella y darle una mano no ;-1.0
36;99;Que tristeza lo que pasó hoy en España, cada vez más países se dejan llevar por las peligrosas ideas del socialismo y el progresismo. Vienen tiempos duros para España y para occidente. HASHTAG;-1.0;Que tristeza lo que pasó hoy en España  cada vez más países se dejan llevar por las peligrosas ideas del socialismo y el progresismo  Vienen tiempos duros para España y para occidente ;-1.0
37;100;Feliz  HASHTAG que disfruten del mismo https://t.co/CPCJvvbt5g;1.0;Feliz que disfruten del mismo;1.0
38;106;USER suite para la resurrección triste muy triste 🇫🇷👐💚😔 HASHTAG https://t.co/5twqjWbSSo;-1.0;suite para la resurrección triste muy triste;-1.0
39;107;A pesar de la lluvia, muy buen ambiente en el HASHTAG. ¡Feliz HASHTAG, HASHTAG y a leer mucho!   PD: Os dejo mis adquisiciones y obsequios, todo en USER 👌🏼. https://t.co/oKd56DHMGi;1.0;A pesar de la lluvia  muy buen ambiente en el  Feliz  y a leer mucho PD  Os dejo mis adquisiciones y obsequios  todo en ;1.0
40;109;HASHTAG HASHTAG  mi ciudad favorita del mundo, conozco la belleza gracias a ti HASHTAG HASHTAG❤️💪 https://t.co/t33wcavkn5;1.0;mi ciudad favorita del mundo  conozco la belleza gracias a ti;0.0
41;112;HASHTAG VÍDEO:😱 ¡Fuera de Control! Manifestaciones😥en las calles de HASHTAG 🇻🇪dejan heridos y atropellados y más...https://t.co/zhRIxkL68z;-1.0;VÍDEO  Fuera de Control Manifestaciones en las calles de dejan heridos y atropellados y más ;-1.0
42;113;Lo que costó 200 años en construir se puede perder en un día... que tristeza! HASHTAG HASHTAG https://t.co/zpbO5kDeuZ;-1.0;Lo que costó 200 años en construir se puede perder en un día  que tristeza;-1.0
43;114;Buenos días . Camino del trabajo me pregunto si alguien sabe donde están escondidos los  que se reían de los datos del HASHTAG ? HASHTAG HASHTAG HASHTAG;-1.0;Buenos días  Camino del trabajo me pregunto si alguien sabe donde están escondidos los que se reían de los datos del ;1.0
44;115;El Rey de la Noche con la manicura perfecta es the best HASHTAG;1.0;El Rey de la Noche con la manicura perfecta es the best;1.0
45;118;USER Solo basto la entrada de Messi para que desequilibrar al Levante y así anotar el gol de la victoria que les da el campeonato de Liga 2018-2019! HASHTAG HASHTAG HASHTAG https://t.co/8p9h5owQND;1.0;Solo basto la entrada de Messi para que desequilibrar al Levante y así anotar el gol de la victoria que les da el campeonato de Liga 20182019;1.0
46;120;FELIZ. Gracias España! Los españoles hemos demostrado que somos mejores que nuestros políticos. No queremos odio, enfrentamiento ni ir hacía atrás. Lo que queremos es igualdad, avanzar y diálogo. HASHTAG HASHTAG;1.0;FELIZ  Gracias España Los españoles hemos demostrado que somos mejores que nuestros políticos  No queremos odio  enfrentamiento ni ir hacía atrás  Lo que queremos es igualdad  avanzar y diálogo ;0.0
47;123;"¡Feliz día del libro a todos! ¡Y felicidades a todos los Jorges!  ""𝐄𝐥 𝐪𝐮𝐞 𝐋𝐄𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐀𝐍𝐃𝐀 𝐦𝐮𝐜𝐡𝐨, 𝐕𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐒𝐀𝐁𝐄 𝐦𝐮𝐜𝐡𝐨"" (𝑴𝒊𝒈𝒖𝒆𝒍 𝒅𝒆 𝑪𝒆𝒓𝒗𝒂𝒏𝒕𝒆𝒔)  HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG…https://t.co/2zJ97dpaps";1.0;Feliz día del libro a todos Y felicidades a todos los Jorges  𝐄𝐥 𝐪𝐮𝐞 𝐋𝐄𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐀𝐍𝐃𝐀 𝐦𝐮𝐜𝐡𝐨  𝐕𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐒𝐀𝐁𝐄 𝐦𝐮𝐜𝐡𝐨   𝑴𝒊𝒈𝒖𝒆𝒍 𝒅𝒆 𝑪𝒆𝒓𝒗𝒂𝒏𝒕𝒆𝒔 ;1.0
48;128;"""Soy una niña que dice que otras personas están robando mi futuro"" HASHTAG, activista sueca símbolo de las protestas por el clima  https://t.co/XGlcxp4aUQ";-1.0; Soy una niña que dice que otras personas están robando mi futuro   activista sueca símbolo de las protestas por el clima;-1.0
49;131;HASHTAG🇻🇪 Por todos los fallecidos en protestas, por todos los fallecidos por hambre, por todos los fallecidos por falta de medicamentos, por todos los que tuvieron que abandonar su hogar y por todos los que nos hemos levantado aún con lágrimas en los ojos.;-1.0;Por todos los fallecidos en protestas  por todos los fallecidos por hambre  por todos los fallecidos por falta de medicamentos  por todos los que tuvieron que abandonar su hogar y por todos los que nos hemos levantado aún con lágrimas en los ojos ;-1.0
